,lat,lon,city,country_code,city_lat,city_lon,city_temperature,city_humidity,city_windspeed,city_clouds,city_temp_max,date,sunrise
29878,36.21466096807063,-4.755324005537915,Marbella,ES,36.51,-4.89,68.27,46,11.41,20,71.6,1522776600,1522735314
29943,43.760963782473226,23.32776116855844,Lom,BG,43.82,23.24,55.55,68,6.96,0,55.55,1522777790,1522728247
29963,13.375769965415486,43.24334779924129,Zabid,YE,14.2,44.5,59.6,31,3.15,44,59.6,1522777799,1522724165
29975,42.996687962938864,8.337553754141481,Imperia,IT,43.88,8.02,48.76,93,12.75,40,51.8,1522774500,1522731892
29991,26.31282525212231,50.39577420726434,Manama,BH,26.22,50.58,76.71,34,3.36,0,78.8,1522776000,1522722371
30005,62.86557016135987,48.606745113422676,Mezhdurechensk,RU,53.69,88.07,20.81,81,5.61,80,20.81,1522777791,1522712112
30020,-26.97055534514513,28.8115808735906,Villiers,ZA,-27.03,28.6,59.78,94,3.6,80,59.78,1522777791,1522728981
30051,-30.01230320909775,-50.83894026713135,Gravatai,BR,-29.94,-50.99,78.8,69,5.82,75,78.8,1522774800,1522748173
30060,41.87790006638778,11.714350798178103,Santa Marinella,IT,42.04,11.87,59.74,58,8.05,0,62.6,1522776000,1522731058
30123,37.77043486397571,43.96600749117175,Hakkari,TR,37.58,44.17,43.49,57,4.72,36,43.49,1522777792,1522723509
30151,35.25876128296636,-78.9993110073528,Fayetteville,US,36.06,-94.16,66.52,73,12.75,90,71.6,1522777020,1522756736
30174,-19.45703159573327,23.815024614732877,Maun,BW,-19.99,23.42,78.8,54,3.36,0,78.8,1522774800,1522730041
30183,45.42419272730774,19.26314622974475,Bac,RS,45.39,19.24,62.6,45,3.36,0,62.6,1522776600,1522729125
30209,-10.349137353840064,-66.26419666478529,Riberalta,BO,-11.0,-66.08,82.4,83,2.59,75,82.4,1522774800,1522751303
30224,-19.466385264675438,21.090920656487043,Nokaneng,BW,-19.66,22.19,78.77,35,8.75,44,78.77,1522777792,1522730328
30227,-20.757863298954703,46.442761714613965,Ambatofinandrahana,MG,-20.55,46.8,59.6,95,2.93,36,59.6,1522777792,1522724442
30247,44.236746212463345,28.018118210066618,Rasova,RO,44.24,27.94,44.6,81,14.99,0,44.6,1522776600,1522727099
30260,56.1478456126342,44.44773603719642,Pamyat Parizhskoy Kommuny,RU,56.1,44.5,39.2,80,4.47,90,39.2,1522774800,1522722359
30266,12.852643903662141,40.06409844078189,Korem,ET,12.51,39.52,60.59,69,1.92,24,60.59,1522777793,1522725403
30273,11.607465518142732,-85.35342245578013,Acoyapa,NI,11.97,-85.17,89.6,55,4.7,40,89.6,1522774800,1522755329
30300,37.62701426844589,11.754367126591418,Marsala,IT,37.8,12.44,60.8,87,20.8,20,60.8,1522776000,1522731107
30305,46.67664459358298,-52.905956342707114,Wabana,CA,47.63,-52.95,33.8,43,14.99,40,33.8,1522774800,1522746304
30311,36.728430318939274,-5.997254182548687,Jerez,ES,36.68,-6.14,63.39,59,14.99,20,64.4,1522776600,1522735607
30348,-16.130911327720526,-49.8731617885883,Itaberai,BR,-16.02,-49.81,79.85,86,6.51,12,79.85,1522777794,1522747520
30405,49.68123363382557,16.58378616152514,Moravska Trebova,CZ,49.76,16.66,55.4,62,9.17,0,55.4,1522776600,1522729492
30450,41.17445609369821,-79.46217854528945,Oil City,US,41.43,-79.71,45.28,93,5.82,90,46.4,1522776600,1522753040
30458,44.00882451834565,32.17731753958883,Zaozerne,UA,51.37,23.94,49.25,76,9.64,48,49.25,1522777796,1522727643
30461,66.21792328650531,76.07245257243514,Novyy Urengoy,RU,66.08,76.63,-11.24,38,3.27,44,-11.24,1522777796,1522713490
30479,-19.091916337389563,-42.9812065459876,Guanhaes,BR,-18.77,-42.93,82.28,64,2.82,56,82.28,1522777805,1522745937
30494,-7.230567338752138,-44.35488860897811,Urucui,BR,-7.23,-44.56,86.15,66,3.94,32,86.15,1522777805,1522746049
30519,51.99334781921007,35.76748670801611,Fatezh,RU,52.09,35.86,33.8,80,8.95,0,33.8,1522774800,1522724737
30524,60.83213806329465,22.860037273062915,Huittinen,FI,61.18,22.7,30.2,58,6.93,0,30.2,1522776000,1522727077
30530,9.775842198330338,0.4438405270031467,Yendi,GH,9.45,0,77.87,86,2.93,20,77.87,1522777797,1522734960
30546,33.70772893280315,75.06109386822806,Kulgam,IN,33.65,75.01,37.19,79,1.59,8,37.19,1522777797,1522716265
30548,24.09392594508492,71.95433542503227,Disa,IN,24.25,72.17,79.22,28,6.4,0,79.22,1522777797,1522717253
30569,58.87323052904242,41.478011663739096,Buy,RU,58.48,41.53,30.89,91,10.54,48,30.89,1522777797,1522722854
30594,32.7731944953392,-86.15644087556413,Alexander City,US,32.94,-85.95,75.94,69,11.41,75,77,1522776900,1522754886
30623,11.428512617896928,-3.2154719634815763,Hounde,BF,11.5,-3.52,98.48,24,3.38,48,98.48,1522777806,1522735753
30639,38.55442077062531,28.982519272885327,Kula,TR,38.55,28.65,45.65,70,2.37,0,45.65,1522777807,1522727190
30648,-23.29796604989079,-47.81850115268341,Tatui,BR,-23.36,-47.86,78.23,87,6.17,64,78.23,1522777807,1522747238
30662,4.9946268174227555,15.292908028543863,Carnot,CF,4.94,15.87,80.12,61,3.6,0,80.12,1522777808,1522731262
30676,51.39274163101331,-4.353931010098577,Ilfracombe,GB,51.21,-4.13,50.54,66,9.17,68,51.8,1522776000,1522734380
30745,10.930210132397463,37.87514254141557,Adet,ET,11.26,37.49,57.26,80,0.81,0,57.26,1522777799,1522725921
30749,49.053926372282575,12.895999918239,Deggendorf,DE,48.83,12.96,53.75,67,7.74,20,53.75,1522777799,1522730436
30752,12.753110880755685,-73.46299102018114,Riohacha,CO,11.54,-72.91,81.29,90,10.87,36,81.29,1522777808,1522752399
30782,16.359358511019963,71.3930630798707,Ratnagiri,IN,16.98,73.3,80.66,100,11.77,0,80.66,1522777800,1522717184
30858,56.834041536796235,27.214808761947978,Balvi,LV,57.13,27.27,37.64,82,7.4,76,37.64,1522777800,1522726396
30859,64.81646005740501,66.71930271812857,Salekhard,RU,66.54,66.62,7.31,70,4.38,80,7.31,1522777800,1522715808
30896,49.969999830453844,5.07292827960174,Daverdisse,BE,50.02,5.12,52.74,71,12.75,75,53.6,1522776000,1522732241
30897,39.477822184398036,16.98650678943065,Cariati,IT,39.5,16.95,56.27,87,7.18,20,56.27,1522777809,1522729955
30919,60.6639201275961,26.7025694664502,Kouvola,FI,60.87,26.7,32,77,6.93,0,32,1522776000,1522726155
30921,52.82600349327407,-7.6212102880643045,Templemore,IE,52.79,-7.83,49.52,77,11.43,76,49.52,1522777810,1522735156
30953,33.00068168591031,-84.6920933442175,Thomaston,US,32.89,-84.33,79.05,36,12.75,75,80.6,1522776900,1522754500
